,active,tot_price_pl,tot_sl_pl,invested,triggered,cur_price_pl,enter_price,stop_loss,dxv,cur_sl_pl
3058,True,,,,False,,7366.9434,7385.3607585,18.417358500000002,
3059,True,,,,False,,7366.9434,7385.3607585,18.417358500000002,
3060,True,,,,True,,7366.9434,7385.3607585,18.417358500000002,
3061,False,,,,False,,,,,
3062,False,,,,False,,,,,
3063,False,,,,False,,,,,
3064,False,,,,False,,,,,
3065,False,,,,False,,,,,
3066,True,,,,False,,7401.94045113,7420.445302257825,18.504851127825,
3067,True,,,,False,,7401.94045113,7420.445302257825,18.504851127825,
3068,True,,,,False,,7401.94045113,7420.445302257825,18.504851127825,
3069,True,,,,False,,7401.94045113,7418.045633217825,18.504851127825,
3070,True,,,,False,,7401.94045113,7418.045633217825,18.504851127825,
3071,True,,,,False,,7401.94045113,7412.349867357824,18.504851127825,
3072,True,,,,False,,7401.94045113,7412.349867357824,18.504851127825,
3073,True,,,,False,,7401.94045113,7412.349867357824,18.504851127825,
3074,True,,,,False,,7401.94045113,7412.349867357824,18.504851127825,
3075,True,,,,False,,7401.94045113,7411.284507947825,18.504851127825,
3076,True,,,,False,,7401.94045113,7389.576720147825,18.504851127825,
3077,True,,,,False,,7401.94045113,7383.823166217825,18.504851127825,
3078,True,,,,True,,7401.94045113,7383.823166217825,18.504851127825,
3079,False,,,,False,,,,,
3080,True,,,,False,,7366.3772,7384.793143,18.415943,
3081,True,,,,False,,7366.3772,7376.18811799,18.415943,
3082,True,,,,False,,7366.3772,7375.23964303,18.415943,
3083,True,,,,False,,7366.3772,7375.23964303,18.415943,
3084,True,,,,True,,7366.3772,7375.23964303,18.415943,
3085,False,,,,False,,,,,
3086,False,,,,False,,,,,
3087,False,,,,False,,,,,
3088,False,,,,False,,,,,
3089,False,,,,False,,,,,
3090,False,,,,False,,,,,
3091,False,,,,False,,,,,
3092,False,,,,False,,,,,
3093,False,,,,False,,,,,
3094,False,,,,False,,,,,
3095,False,,,,False,,,,,
3096,False,,,,False,,,,,
3097,False,,,,False,,,,,
3098,False,,,,False,,,,,
3099,False,,,,False,,,,,
3100,False,,,,False,,,,,
3101,True,,,,False,,7386.99977154,7405.46727096885,18.46749942885,
3102,True,,,,False,,7386.99977154,7405.01472343885,18.46749942885,
3103,True,,,,False,,7386.99977154,7403.63120997885,18.46749942885,
3104,True,,,,False,,7386.99977154,7403.63120997885,18.46749942885,
3105,True,,,,True,,7386.99977154,7403.63120997885,18.46749942885,
3106,False,,,,False,,,,,
3107,False,,,,False,,,,,
3108,True,,,,False,,7387.50000002,7405.96875002005,18.46875000005,
3109,True,,,,False,,7387.50000002,7401.508635000049,18.46875000005,
3110,True,,,,False,,7387.50000002,7401.508635000049,18.46875000005,
3111,True,,,,False,,7387.50000002,7401.508635000049,18.46875000005,
3112,True,,,,False,,7387.50000002,7386.64206099005,18.46875000005,
3113,True,,,,False,,7387.50000002,7386.64206099005,18.46875000005,
3114,True,,,,False,,7387.50000002,7386.64206099005,18.46875000005,
3115,True,,,,False,,7387.50000002,7379.1956900000505,18.46875000005,
3116,True,,,,False,,7387.50000002,7375.34389305005,18.46875000005,
3117,True,,,,False,,7387.50000002,7375.34389305005,18.46875000005,
3118,True,,,,False,,7387.50000002,7375.34389305005,18.46875000005,
3119,True,,,,False,,7387.50000002,7375.34389305005,18.46875000005,
3120,True,,,,False,,7387.50000002,7359.27702800005,18.46875000005,
3121,True,,,,False,,7387.50000002,7359.27702800005,18.46875000005,
3122,True,,,,False,,7387.50000002,7340.23920883005,18.46875000005,
3123,True,,,,False,,7387.50000002,7340.23920883005,18.46875000005,
3124,True,,,,False,,7387.50000002,7340.23920883005,18.46875000005,
3125,True,,,,False,,7387.50000002,7340.23920883005,18.46875000005,
3126,True,,,,False,,7387.50000002,7340.23920883005,18.46875000005,
3127,True,,,,True,,7387.50000002,7340.23920883005,18.46875000005,
3128,False,,,,False,,,,,
3129,False,,,,False,,,,,
3130,False,,,,False,,,,,
3131,False,,,,False,,,,,
3132,False,,,,False,,,,,
3133,False,,,,False,,,,,
3134,True,,,,False,,7335.88841303,7354.228134062575,18.339721032575,
3135,True,,,,False,,7335.88841303,7340.939721032575,18.339721032575,
3136,True,,,,False,,7335.88841303,7340.939721032575,18.339721032575,
3137,True,,,,False,,7335.88841303,7326.828454692575,18.339721032575,
3138,True,,,,False,,7335.88841303,7303.807684022575,18.339721032575,
3139,True,,,,False,,7335.88841303,7283.675565922575,18.339721032575,
3140,True,,,,False,,7335.88841303,7283.675565922575,18.339721032575,
3141,True,,,,False,,7335.88841303,7283.675565922575,18.339721032575,
3142,True,,,,False,,7335.88841303,7283.675565922575,18.339721032575,
3143,True,,,,False,,7335.88841303,7283.675565922575,18.339721032575,
3144,True,,,,False,,7335.88841303,7244.339680912574,18.339721032575,
3145,True,,,,False,,7335.88841303,7216.374711992575,18.339721032575,
3146,True,,,,False,,7335.88841303,7216.374711992575,18.339721032575,
3147,True,,,,False,,7335.88841303,7200.802360142575,18.339721032575,
3148,True,,,,True,,7335.88841303,7200.802360142575,18.339721032575,
3149,False,,,,False,,,,,
3150,False,,,,False,,,,,
3151,False,,,,False,,,,,
3152,False,,,,False,,,,,
3153,False,,,,False,,,,,
3154,False,,,,False,,,,,
3155,False,,,,False,,,,,
3156,False,,,,False,,,,,
3157,False,,,,False,,,,,
3158,True,,,,False,,7237.536908,7255.63075027,18.09384227,
3159,True,,,,False,,7237.536908,7246.78134628,18.09384227,
3160,True,,,,False,,7237.536908,7246.78134628,18.09384227,
3161,True,,,,False,,7237.536908,7246.78134628,18.09384227,
3162,True,,,,False,,7237.536908,7246.78134628,18.09384227,
3163,True,,,,False,,7237.536908,7246.78134628,18.09384227,
3164,True,,,,False,,7237.536908,7246.78134628,18.09384227,
3165,True,,,,False,,7237.536908,7246.78134628,18.09384227,
3166,True,,,,False,,7237.536908,7246.78134628,18.09384227,
3167,True,,,,True,,7237.536908,7246.78134628,18.09384227,
3168,True,,,,False,,7233.9,7251.98475,18.08475,
3169,True,,,,False,,7233.9,7248.88474999,18.08475,
3170,True,,,,False,,7233.9,7241.83539306,18.08475,
3171,True,,,,False,,7233.9,7233.74382909,18.08475,
3172,True,,,,False,,7233.9,7233.74382909,18.08475,
3173,True,,,,False,,7233.9,7233.74382909,18.08475,
3174,True,,,,False,,7233.9,7224.38475002,18.08475,
3175,True,,,,False,,7233.9,7220.47712674,18.08475,
3176,True,,,,False,,7233.9,7220.47712674,18.08475,
3177,True,,,,True,,7233.9,7220.47712674,18.08475,
3178,False,,,,False,,,,,
3179,False,,,,False,,,,,
3180,False,,,,False,,,,,
3181,False,,,,False,,,,,
3182,False,,,,False,,,,,
3183,False,,,,False,,,,,
3184,False,,,,False,,,,,
3185,False,,,,False,,,,,
3186,False,,,,False,,,,,
3187,True,,,,False,,7313.70554311,7331.989806967775,18.284263857775,
3188,True,,,,False,,7313.70554311,7331.556723957776,18.284263857775,
3189,True,,,,False,,7313.70554311,7312.789505847775,18.284263857775,
