,dxv,cur_sl_pl,stop_loss,tot_price_pl,triggered,invested,active,cur_price_pl,enter_price,tot_sl_pl
190,62.76,,6338.76,,True,,True,,6276.0,
191,,,,,False,,False,,,
192,,,,,False,,False,,,
193,,,,,False,,False,,,
194,,,,,False,,False,,,
195,,,,,False,,False,,,
196,,,,,False,,False,,,
197,,,,,False,,False,,,
198,,,,,False,,False,,,
199,,,,,False,,False,,,
200,,,,,False,,False,,,
201,,,,,False,,False,,,
202,,,,,False,,False,,,
203,65.0843269158,,6573.517018495801,,False,,True,,6508.43269158,
204,65.0843269158,,6532.786101915801,,False,,True,,6508.43269158,
205,65.0843269158,,6532.786101915801,,False,,True,,6508.43269158,
206,65.0843269158,,6532.786101915801,,False,,True,,6508.43269158,
207,65.0843269158,,6405.0843269158,,False,,True,,6508.43269158,
208,65.0843269158,,6405.0843269158,,False,,True,,6508.43269158,
209,65.0843269158,,6405.0843269158,,False,,True,,6508.43269158,
210,65.0843269158,,6405.0843269158,,False,,True,,6508.43269158,
211,65.0843269158,,6405.0843269158,,False,,True,,6508.43269158,
212,65.0843269158,,6405.0843269158,,False,,True,,6508.43269158,
213,65.0843269158,,6405.0843269158,,False,,True,,6508.43269158,
214,65.0843269158,,6397.684326915801,,False,,True,,6508.43269158,
215,65.0843269158,,6397.684326915801,,False,,True,,6508.43269158,
216,65.0843269158,,6397.684326915801,,False,,True,,6508.43269158,
217,65.0843269158,,6397.684326915801,,False,,True,,6508.43269158,
218,65.0843269158,,6397.684326915801,,True,,True,,6508.43269158,
219,,,,,False,,False,,,
220,,,,,False,,False,,,
221,63.5496498973,,6418.514639627299,,False,,True,,6354.96498973,
222,63.5496498973,,6418.514639627299,,False,,True,,6354.96498973,
223,63.5496498973,,6418.514639627299,,True,,True,,6354.96498973,
224,,,,,False,,False,,,
225,,,,,False,,False,,,
226,,,,,False,,False,,,
227,,,,,False,,False,,,
228,,,,,False,,False,,,
229,64.0,,6464.0,,False,,True,,6400.0,
230,64.0,,6464.0,,False,,True,,6400.0,
